Haciendo prueba con: 
Tamano del arreglo: 5000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t
     1	     0.01076     0.01727     0.01940     0.00054     0.05763
     2	     0.01069     0.01836     0.01842     0.00036     0.05637
     3	     0.01073     0.01736     0.01858     0.00037     0.05744
     4	     0.01063     0.01737     0.01853     0.00037     0.05652
     5	     0.01047     0.01750     0.01898     0.00037     0.05803
     6	     0.01042     0.01745     0.01861     0.00038     0.05985
     7	     0.01117     0.02114     0.02127     0.00037     0.05742
     8	     0.01060     0.01876     0.01852     0.00037     0.05717
     9	     0.01045     0.01757     0.01847     0.00038     0.05630
    10	     0.01042     0.01719     0.01870     0.00036     0.05646
    11	     0.01026     0.02232     0.01869     0.00037     0.05656
    12	     0.01072     0.01714     0.01872     0.00036     0.05658
    13	     0.01054     0.01721     0.01883     0.00037     0.05731
    14	     0.01060     0.01749     0.01865     0.00037     0.05613
    15	     0.01113     0.01736     0.01869     0.00036     0.05638
    16	     0.01062     0.01737     0.01859     0.00036     0.05660
    17	     0.01048     0.01735     0.01864     0.00036     0.05618
    18	     0.01045     0.01740     0.01893     0.00036     0.05658
    19	     0.01046     0.01738     0.01863     0.00036     0.05658
    20	     0.01052     0.01737     0.01869     0.00036     0.05722
    21	     0.01045     0.01764     0.01876     0.00037     0.05651
    22	     0.01038     0.01734     0.01876     0.00036     0.05689
    23	     0.01052     0.01820     0.01864     0.00036     0.05687
    24	     0.01030     0.01835     0.01886     0.00036     0.05786
    25	     0.01131     0.01737     0.01868     0.00036     0.05664
    26	     0.01054     0.01736     0.01862     0.00036     0.05912
    27	     0.01111     0.01741     0.01865     0.00037     0.05655
    28	     0.01050     0.01739     0.01872     0.00036     0.05616
    29	     0.01053     0.01734     0.01858     0.00036     0.05664
    30	     0.01061     0.01733     0.01859     0.00037     0.05854
*** TIEMPO PROMEDIO ***
Insertion sort:	0.01061
Selection sort:	0.01780
Bubble sort:	0.01878
Merge sort:	0.00037
Quicksort:	0.05704
*** DESVIACION ESTANDAR ***
Insertion sort:	0.00025
Selection sort:	0.00112
Bubble sort:	0.00050
Merge sort:	0.00003
Quick sort:	0.00088
