Haciendo prueba con: 
Tamano del arreglo: 50
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t
     1	 3.03600e-06 5.54000e-06 3.30600e-06 4.74800e-06 8.50600e-06
     2	 1.89300e-06 5.06900e-06 3.19600e-06 3.51700e-06 6.57200e-06
     3	 2.71500e-06 5.44100e-06 2.98600e-06 2.85600e-06 6.18100e-06
     4	 2.69400e-06 5.11900e-06 3.14600e-06 3.42700e-06 6.25200e-06
     5	 2.45400e-06 5.11000e-06 2.72500e-06 3.69600e-06 8.10500e-06
     6	 2.73600e-06 5.21000e-06 3.20600e-06 3.42600e-06 6.59300e-06
     7	 2.13500e-06 5.21000e-06 3.19600e-06 3.60600e-06 6.22100e-06
     8	 2.26400e-06 5.17000e-06 3.15600e-06 3.55700e-06 8.98600e-06
     9	 2.09400e-06 4.72900e-06 2.84500e-06 3.34600e-06 8.54500e-06
    10	 2.44400e-06 5.17000e-06 3.06600e-06 3.70600e-06 8.62600e-06
    11	 2.24400e-06 5.16000e-06 2.96600e-06 3.40700e-06 6.68200e-06
    12	 2.01400e-06 4.94900e-06 2.98600e-06 3.60700e-06 7.88400e-06
    13	 2.18400e-06 5.17000e-06 3.03500e-06 3.60700e-06 8.12500e-06
    14	 2.40500e-06 5.04000e-06 3.16600e-06 3.71600e-06 6.62200e-06
    15	 2.24400e-06 5.01900e-06 3.03500e-06 3.87700e-06 7.49300e-06
    16	 2.41400e-06 5.28000e-06 3.17600e-06 3.71700e-06 6.49200e-06
    17	 2.04400e-06 5.11000e-06 2.85500e-06 3.38600e-06 8.29500e-06
    18	 2.11400e-06 5.04000e-06 2.96600e-06 3.51700e-06 8.70700e-06
    19	 2.39400e-06 5.37000e-06 2.94500e-06 3.75700e-06 8.83700e-06
    20	 2.18400e-06 5.09000e-06 2.79500e-06 3.59700e-06 8.91700e-06
    21	 2.18400e-06 5.03900e-06 3.10600e-06 3.46600e-06 6.70300e-06
    22	 2.21400e-06 5.13900e-06 2.77500e-06 3.51700e-06 8.10500e-06
    23	 2.27500e-06 4.80900e-06 2.82600e-06 3.43700e-06 8.40600e-06
    24	 2.19400e-06 5.21900e-06 2.89500e-06 3.61700e-06 7.93500e-06
    25	 2.55500e-06 5.01900e-06 2.67500e-06 3.39700e-06 8.30600e-06
    26	 2.07500e-06 4.35800e-06 2.58500e-06 3.88700e-06 8.44500e-06
    27	 2.25400e-06 5.11000e-06 2.84600e-06 3.59700e-06 8.40600e-06
    28	 2.03400e-06 5.21000e-06 2.90600e-06 3.45700e-06 8.18500e-06
    29	 2.48500e-06 5.09900e-06 3.09500e-06 3.51600e-06 8.89600e-06
    30	 2.39400e-06 5.29900e-06 3.03600e-06 3.95800e-06 8.73600e-06
*** TIEMPO PROMEDIO ***
Insertion sort:	2.31233e-06
Selection sort:	5.10990e-06
Bubble sort:	2.98327e-06
Merge sort:	3.59740e-06
Quicksort:	7.82547e-06
*** DESVIACION ESTANDAR ***
Insertion sort:	2.48194e-07
Selection sort:	2.11627e-07
Bubble sort:	1.73955e-07
Merge sort:	2.92957e-07
Quick sort:	9.41352e-07
