Haciendo prueba con: 
Tamano del arreglo: 50000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t
     1	     1.07867     1.73156     1.87664     0.00433     5.65820
     2	     1.06622     1.74059     1.93442     0.00504     5.64816
     3	     1.09169     1.74214     1.90633     0.00435     5.69249
     4	     1.06355     1.71582     1.92949     0.00433     5.70220
     5	     1.09307     1.71489     1.91330     0.00434     5.71811
     6	     1.06669     1.73010     1.91440     0.00434     5.65895
     7	     1.06668     1.73826     1.88982     0.00438     5.66861
     8	     1.06063     1.72685     1.89658     0.00433     5.66781
     9	     1.05692     1.73277     1.88293     0.00433     5.68342
    10	     1.06827     1.84797     1.86947     0.00433     5.67142
    11	     1.06218     1.77029     1.89918     0.00432     5.66152
    12	     1.07354     1.78262     1.88316     0.00445     5.67652
    13	     1.05870     1.76008     1.87993     0.00434     5.68406
    14	     1.08209     1.74939     1.88329     0.00434     5.73757
    15	     1.08117     1.76258     1.90117     0.00595     5.64324
    16	     1.09355     1.75102     1.88279     0.00433     5.65935
    17	     1.09114     1.72717     1.87395     0.00434     5.65745
    18	     1.10222     1.72665     1.88983     0.00433     5.64278
    19	     1.08768     1.72213     1.88627     0.00432     5.64533
    20	     1.09019     1.74284     1.88702     0.00433     5.64306
    21	     1.09729     1.73200     1.87377     0.00442     5.67813
    22	     1.06841     1.72438     1.86116     0.00433     5.69670
    23	     1.11047     1.74112     1.87499     0.00436     5.65986
    24	     1.06267     1.70977     1.85480     0.00437     5.63279
    25	     1.07135     1.72639     1.85871     0.00433     5.65086
    26	     1.06042     1.70139     1.86157     0.00432     5.63503
    27	     1.12742     1.73156     1.86858     0.00463     5.62929
    28	     1.06521     1.71838     1.85935     0.00434     5.63819
    29	     1.07809     1.72149     1.87219     0.00432     5.62251
    30	     1.06488     1.69821     1.88833     0.00434     5.68759
*** TIEMPO PROMEDIO ***
Insertion sort:	1.07804
Selection sort:	1.73735
Bubble sort:	1.88511
Merge sort:	0.00443
Quicksort:	5.66504
*** DESVIACION ESTANDAR ***
Insertion sort:	0.01699
Selection sort:	0.02776
Bubble sort:	0.01976
Merge sort:	0.00031
Quick sort:	0.02650
