Haciendo prueba con: 
Tamano del arreglo: 10000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t
     1	     0.04232     0.07472     0.07542     0.00119     0.23112
     2	     0.04925     0.06951     0.07402     0.00077     0.22445
     3	     0.04174     0.06917     0.07530     0.00077     0.22783
     4	     0.04239     0.07078     0.07385     0.00077     0.22386
     5	     0.04231     0.06983     0.07411     0.00079     0.23031
     6	     0.04297     0.06947     0.07401     0.00079     0.22543
     7	     0.04221     0.06988     0.07398     0.00077     0.22555
     8	     0.04217     0.07030     0.07530     0.00077     0.22553
     9	     0.04284     0.07016     0.07474     0.00077     0.22908
    10	     0.04203     0.07007     0.07774     0.00077     0.23118
    11	     0.04223     0.07106     0.07491     0.00077     0.22472
    12	     0.04270     0.07410     0.07428     0.00078     0.22441
    13	     0.04736     0.07006     0.07697     0.00079     0.22655
    14	     0.04327     0.06965     0.07447     0.00077     0.22552
    15	     0.04222     0.07004     0.08471     0.00077     0.22767
    16	     0.04198     0.07031     0.07390     0.00080     0.22428
    17	     0.04244     0.06961     0.07430     0.00077     0.22589
    18	     0.04242     0.07718     0.07406     0.00077     0.22759
    19	     0.04377     0.09079     0.07711     0.00078     0.23041
    20	     0.04260     0.07549     0.07503     0.00077     0.23378
    21	     0.04336     0.07121     0.07424     0.00077     0.22770
    22	     0.04326     0.07045     0.07387     0.00078     0.22610
    23	     0.04505     0.06981     0.07471     0.00077     0.22554
    24	     0.04278     0.06967     0.07394     0.00077     0.22728
    25	     0.04446     0.08453     0.07628     0.00081     0.22631
    26	     0.04225     0.07003     0.07397     0.00077     0.22535
    27	     0.04259     0.07041     0.07452     0.00077     0.22692
    28	     0.04221     0.07053     0.07467     0.00079     0.22534
    29	     0.04254     0.06971     0.07379     0.00078     0.22563
    30	     0.05048     0.07353     0.07422     0.00077     0.22704
*** TIEMPO PROMEDIO ***
Insertion sort:	0.04334
Selection sort:	0.07207
Bubble sort:	0.07508
Merge sort:	0.00079
Quicksort:	0.22695
*** DESVIACION ESTANDAR ***
Insertion sort:	0.00206
Selection sort:	0.00467
Bubble sort:	0.00206
Merge sort:	0.00008
Quick sort:	0.00235
