Haciendo prueba con: 
Tamano del arreglo: 1000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t
     1	     0.00045     0.00073     0.00074 6.95800e-05     0.00237
     2	     0.00043     0.00073     0.00074 6.42600e-05     0.00227
     3	     0.00043     0.00073     0.00075 6.37590e-05     0.00224
     4	     0.00043     0.00073     0.00074 6.38090e-05     0.00225
     5	     0.00045     0.00073     0.00074 6.38290e-05     0.00225
     6	     0.00044     0.00073     0.00074 6.34480e-05     0.00226
     7	     0.00044     0.00073     0.00074 6.35290e-05     0.00227
     8	     0.00043     0.00073     0.00075 6.32680e-05     0.00224
     9	     0.00043     0.00073     0.00076 6.36890e-05     0.00228
    10	     0.00044     0.00081     0.00077 6.38990e-05     0.00229
    11	     0.00044     0.00075     0.00074 6.41200e-05     0.00223
    12	     0.00044     0.00074     0.00074 6.32280e-05     0.00224
    13	     0.00047     0.00073     0.00074 6.34480e-05     0.00225
    14	     0.00043     0.00073     0.00074 6.35290e-05     0.00228
    15	     0.00044     0.00073     0.00074 6.35590e-05     0.00275
    16	     0.00061     0.00076     0.00074 6.43400e-05     0.00227
    17	     0.00048     0.00073     0.00074 6.35390e-05     0.00229
    18	     0.00043     0.00078     0.00075 6.43600e-05     0.00225
    19	     0.00044     0.00073     0.00076 6.33580e-05     0.00223
    20	     0.00044     0.00073     0.00076 6.36380e-05     0.00226
    21	     0.00042     0.00075     0.00074 6.36790e-05     0.00225
    22	     0.00050     0.00077     0.00074 6.35490e-05     0.00229
    23	     0.00042     0.00074     0.00074 6.33680e-05     0.00226
    24	     0.00045     0.00073     0.00074 6.36790e-05     0.00224
    25	     0.00080     0.00078     0.00075 6.39490e-05     0.00229
    26	     0.00043     0.00073     0.00074 6.36490e-05     0.00228
    27	     0.00042     0.00074     0.00074 6.33890e-05     0.00225
    28	     0.00042     0.00073     0.00074 6.34080e-05     0.00227
    29	     0.00064     0.00074     0.00079 6.64940e-05     0.00227
    30	     0.00043     0.00073     0.00076 6.39290e-05     0.00224
*** TIEMPO PROMEDIO ***
Insertion sort:	0.00046
Selection sort:	0.00074
Bubble sort:	0.00075
Merge sort:	0.00006
Quicksort:	0.00228
*** DESVIACION ESTANDAR ***
Insertion sort:	0.00008
Selection sort:	0.00002
Bubble sort:	0.00001
Merge sort:	0.00000
Quick sort:	0.00009
